A,sonny9
ISI,Content,corrAns,RT,trialName
0.15,Me,0,2.080811272986466,OtherSelf
0.15,Mine,1,0.7453273250139318,OtherSelf
0.15,They,1,0.9122443060041405,OtherSelf
0.15,Their,1,0.5765336730109993,OtherSelf
0.15,They,1,0.6303914159943815,OtherSelf
0.15,It,0,1.1110330570081715,OtherSelf
0.15,Me,0,0.7732132410164922,OtherSelf
0.15,Myself,1,1.1376069689868018,OtherSelf
0.15,Self,1,0.8495979339932092,OtherSelf
0.15,Their,1,0.6712550780212041,OtherSelf
0.15,It,1,1.0464306639914867,OtherSelf
0.15,Mine,1,0.7115344619960524,OtherSelf
0.15,My,1,0.9021975490031764,OtherSelf
0.15,I,1,0.6049328489752952,OtherSelf
0.15,Mine,1,0.5739426850050222,OtherSelf
0.15,Them,1,0.608821825007908,OtherSelf
0.15,They,1,0.6166665039781947,OtherSelf
0.15,Other,1,1.3401884909835644,OtherSelf
0.15,You,0,0.8397803810075857,OtherSelf
0.15,Them,1,0.9698458279890474,OtherSelf
0.15,Chemistry,1,1.2461492069996893,LibSci
0.15,Humanities,1,0.7249641499947757,LibSci
0.15,Literature,1,0.6209525190060958,LibSci
0.15,Engineering,1,0.5938072729913983,LibSci
0.15,Math,1,0.8974929990072269,LibSci
0.15,Art,1,0.8969135310035199,LibSci
0.15,Geology,1,0.818289102986455,LibSci
0.15,Music,1,1.3963109469914343,LibSci
0.15,Computer Science,0,2.466274485021131,LibSci
0.15,Art,1,1.1684447349980474,LibSci
0.15,Astronomy,1,0.8292659920116421,LibSci
0.15,Creative Writing,1,1.6406395760132,LibSci
0.15,Physics,1,0.7433823309838772,LibSci
0.15,Humanities,1,1.1238298510143068,LibSci
0.15,English,1,1.8881521779985633,LibSci
0.15,Art,1,0.7715434610145167,LibSci
0.15,Math,1,0.6490827610250562,LibSci
0.15,Chemistry,1,0.5036114880058449,LibSci
0.15,Math,1,0.5279306930024177,LibSci
0.15,Poetry,0,0.4360590529977344,LibSci
0.15,My,1,1.4047210460121278,OtherLibSelfSci
0.15,Geology,1,2.2201627639879007,OtherLibSelfSci
0.15,Other,1,0.8765674479946028,OtherLibSelfSci
0.15,Math,1,1.2206006729975343,OtherLibSelfSci
0.15,English,1,0.8502887009817641,OtherLibSelfSci
0.15,Literature,1,0.6008839530113619,OtherLibSelfSci
0.15,Poetry,1,0.7062140119960532,OtherLibSelfSci
0.15,It,1,2.1668871320143808,OtherLibSelfSci
0.15,Physics,1,0.9851742899918463,OtherLibSelfSci
0.15,Self,1,1.1987369550042786,OtherLibSelfSci
0.15,They,1,0.9641561210155487,OtherLibSelfSci
0.15,Their,1,0.6024713320075534,OtherLibSelfSci
0.15,Me,1,0.8585488609969616,OtherLibSelfSci
0.15,Mine,1,0.5210263909830246,OtherLibSelfSci
0.15,Them,1,0.6842163630062714,OtherLibSelfSci
0.15,Music,1,1.203035404003458,OtherLibSelfSci
0.15,Chemistry,1,0.7105959450127557,OtherLibSelfSci
0.15,You,1,1.1469389779958874,OtherLibSelfSci
0.15,Astronomy,1,1.3621650480199605,OtherLibSelfSci
0.15,Humanities,1,0.7107312489824835,OtherLibSelfSci
0.15,They,1,1.3921716850018129,OtherLibSelfSci40
0.15,Geology,1,1.5501490230089985,OtherLibSelfSci40
0.15,Physics,1,2.6990244629851077,OtherLibSelfSci40
0.15,Their,1,0.8432591810123995,OtherLibSelfSci40
0.15,I,1,0.8904138560174033,OtherLibSelfSci40
0.15,Self,1,0.8071448729897384,OtherLibSelfSci40
0.15,Astronomy,1,0.6379291950142942,OtherLibSelfSci40
0.15,Other,1,0.6535762439889368,OtherLibSelfSci40
0.15,Self,1,0.8942623480106704,OtherLibSelfSci40
0.15,Myself,1,0.5665827119955793,OtherLibSelfSci40
0.15,Self,1,0.6812735860003158,OtherLibSelfSci40
0.15,Humanities,1,0.5287199840240646,OtherLibSelfSci40
0.15,Me,1,0.5618177950091194,OtherLibSelfSci40
0.15,They,1,0.8126415529986843,OtherLibSelfSci40
0.15,My,1,0.8446845580183435,OtherLibSelfSci40
0.15,Computer Science,1,1.9227262510103174,OtherLibSelfSci40
0.15,Creative Writing,1,0.8806916150206234,OtherLibSelfSci40
0.15,You,1,1.1135478699870873,OtherLibSelfSci40
0.15,Physics,1,0.8183148360112682,OtherLibSelfSci40
0.15,It,1,1.0855882939940784,OtherLibSelfSci40
0.15,English,0,1.0677038300200365,OtherLibSelfSci40
0.15,Them,1,0.9447699869924691,OtherLibSelfSci40
0.15,Me,1,0.6216497709974647,OtherLibSelfSci40
0.15,Math,1,0.6803265739872586,OtherLibSelfSci40
0.15,Humanities,1,0.6788612619857304,OtherLibSelfSci40
0.15,Literature,1,1.1622614150110167,OtherLibSelfSci40
0.15,Chemistry,1,1.2362577470194083,OtherLibSelfSci40
0.15,Music,1,0.6597559899964835,OtherLibSelfSci40
0.15,Art,1,1.0818822399887722,OtherLibSelfSci40
0.15,Physics,1,0.6895743230124936,OtherLibSelfSci40
0.15,Computer Science,1,1.125576042017201,OtherLibSelfSci40
0.15,Mine,1,0.9998228450131137,OtherLibSelfSci40
0.15,Music,1,0.7196175279968884,OtherLibSelfSci40
0.15,Engineering,1,0.5917890319833532,OtherLibSelfSci40
0.15,Physics,1,0.7067422340041958,OtherLibSelfSci40
0.15,Humanities,1,0.6971921839867719,OtherLibSelfSci40
0.15,Myself,1,0.8411616550001781,OtherLibSelfSci40
0.15,English,1,1.0003725109854713,OtherLibSelfSci40
0.15,Math,1,0.6187085639976431,OtherLibSelfSci40
0.15,Poetry,1,0.6918956569861621,OtherLibSelfSci40
0.15,They,1,1.5941221590037458,SelfOther
0.15,Them,1,0.6395771620154846,SelfOther
0.15,Their,1,0.7493944119778462,SelfOther
0.15,Other,1,0.5581708450044971,SelfOther
0.15,Me,1,0.5913405559840612,SelfOther
0.15,Their,1,1.2532044120016508,SelfOther
0.15,Me,0,1.3769794079998974,SelfOther
0.15,Other,1,1.0049149910046253,SelfOther
0.15,Mine,1,1.191661700984696,SelfOther
0.15,You,1,1.7278496390208602,SelfOther
0.15,It,1,0.6530839180049952,SelfOther
0.15,I,1,0.7705065679911058,SelfOther
0.15,It,1,0.7453846880234778,SelfOther
0.15,Myself,1,0.890079890989,SelfOther
0.15,Me,1,0.7317540350195486,SelfOther
0.15,Their,1,0.7170346079801675,SelfOther
0.15,Other,0,1.2373165049939416,SelfOther
0.15,Self,1,0.6094354260130785,SelfOther
0.15,Mine,1,1.107188642024994,SelfOther
0.15,Myself,1,0.6518724960042164,SelfOther
0.15,My,1,1.0071972279984038,SelfOther
0.15,I,0,0.5716471659834497,SelfOther
0.15,Self,0,0.573859428986907,SelfOther
