A,sonny7
ISI,Content,corrAns,RT,trialName
0.15,It,1,1.1848043739737477,OtherSelf
0.15,Me,1,0.1858175729867071,OtherSelf
0.15,Mine,0,0.41415587899973616,OtherSelf
0.15,You,0,0.10228402499342337,OtherSelf
0.15,It,0,0.10219114099163562,OtherSelf
0.15,Other,0,0.1295253970019985,OtherSelf
0.15,It,1,0.1858604830049444,OtherSelf
0.15,They,0,0.08593887600000016,OtherSelf
0.15,It,0,0.06099313302547671,OtherSelf
0.15,Self,0,0.17577593398164026,OtherSelf
0.15,My,1,0.05121664100443013,OtherSelf
0.15,Self,1,0.01794685100321658,OtherSelf
0.15,You,1,0.025047322997124866,OtherSelf
0.15,My,0,0.13672178698470816,OtherSelf
0.15,I,0,0.09437159102526493,OtherSelf
0.15,Myself,1,0.07373532498604618,OtherSelf
0.15,Them,0,0.10111816698918119,OtherSelf
0.15,Their,1,0.15639152799849398,OtherSelf
0.15,Me,1,0.057203409989597276,OtherSelf
0.15,Them,0,0.08766760097933002,OtherSelf
0.15,Physics,1,0.6109214809839614,LibSci
0.15,Math,1,0.0963948389980942,LibSci
0.15,Humanities,0,0.10241196898277849,LibSci
0.15,Literature,1,0.12313137299497612,LibSci
0.15,Engineering,0,0.09851918599451892,LibSci
0.15,English,0,0.11339382198639214,LibSci
0.15,Astronomy,1,0.12280209601158276,LibSci
0.15,Physics,1,0.08878299599746242,LibSci
0.15,Computer Science,1,0.012841691001085564,LibSci
0.15,Chemistry,1,0.09566538099898025,LibSci
0.15,English,1,0.1020756540237926,LibSci
0.15,Geology,1,0.15074918899335898,LibSci
0.15,Art,0,0.05840830900706351,LibSci
0.15,Creative Writing,0,0.09599681998952292,LibSci
0.15,Literature,0,0.12711860099807382,LibSci
0.15,Math,0,0.07027676902362145,LibSci
0.15,Chemistry,1,0.08994360000360757,LibSci
0.15,Math,1,0.09122151898918673,LibSci
0.15,Poetry,0,0.1003626820165664,LibSci
0.15,Music,0,0.11058168299496174,LibSci
0.15,Self,1,0.3497055600164458,OtherLibSelfSci
0.15,They,0,0.09281049398123287,OtherLibSelfSci
0.15,Chemistry,0,0.11324395300471224,OtherLibSelfSci
0.15,Math,1,0.08352475400897674,OtherLibSelfSci
0.15,Myself,1,0.08429179000086151,OtherLibSelfSci
0.15,Their,0,0.09944851399632171,OtherLibSelfSci
0.15,Geology,0,0.08644394500879571,OtherLibSelfSci
0.15,My,1,0.09232773899566382,OtherLibSelfSci
0.15,Engineering,1,0.06545322301099077,OtherLibSelfSci
0.15,Literature,0,0.07418438699096441,OtherLibSelfSci
0.15,Me,0,0.07037216398748569,OtherLibSelfSci
0.15,Poetry,0,0.06238298400421627,OtherLibSelfSci
0.15,It,1,0.01601425898843445,OtherLibSelfSci
0.15,You,1,0.02316931201494299,OtherLibSelfSci
0.15,Humanities,1,0.1524835230084136,OtherLibSelfSci
0.15,Computer Science,0,0.01558308899984695,OtherLibSelfSci
0.15,Art,0,0.08288617699872702,OtherLibSelfSci
0.15,Other,1,0.04022724402602762,OtherLibSelfSci
0.15,Them,1,0.14325268100947142,OtherLibSelfSci
0.15,English,1,0.02793430900783278,OtherLibSelfSci
0.15,Poetry,0,0.3465130889962893,OtherLibSelfSci40
0.15,Humanities,1,0.04054722099681385,OtherLibSelfSci40
0.15,You,1,0.013576490979176015,OtherLibSelfSci40
0.15,Creative Writing,1,0.06866505200741813,OtherLibSelfSci40
0.15,Their,1,0.12391748500522226,OtherLibSelfSci40
0.15,Me,0,0.06965035398025066,OtherLibSelfSci40
0.15,I,0,0.05951425700914115,OtherLibSelfSci40
0.15,They,0,0.08061457599978894,OtherLibSelfSci40
0.15,Geology,1,0.1013658769952599,OtherLibSelfSci40
0.15,Engineering,1,0.0977687009726651,OtherLibSelfSci40
0.15,Astronomy,1,0.08666931799962185,OtherLibSelfSci40
0.15,Mine,1,0.09634848299901932,OtherLibSelfSci40
0.15,Art,0,0.07625930098583922,OtherLibSelfSci40
0.15,Them,1,0.0947512949933298,OtherLibSelfSci40
0.15,English,1,0.07582063198788092,OtherLibSelfSci40
0.15,Mine,0,0.057348823989741504,OtherLibSelfSci40
0.15,Literature,0,0.07077082799514756,OtherLibSelfSci40
0.15,Them,0,0.10143395798513666,OtherLibSelfSci40
0.15,Engineering,1,0.16035822097910568,OtherLibSelfSci40
0.15,It,0,0.015527527022641152,OtherLibSelfSci40
0.15,Geology,0,0.03971525598899461,OtherLibSelfSci40
0.15,Humanities,1,0.12738128600176424,OtherLibSelfSci40
0.15,Self,1,0.10207843498210423,OtherLibSelfSci40
0.15,Astronomy,1,0.09120449499459937,OtherLibSelfSci40
0.15,Computer Science,1,0.06646301000728272,OtherLibSelfSci40
0.15,My,1,0.08458383000106551,OtherLibSelfSci40
0.15,Computer Science,0,0.1028555550146848,OtherLibSelfSci40
0.15,English,0,0.07762314201681875,OtherLibSelfSci40
0.15,Computer Science,0,0.08015901801991276,OtherLibSelfSci40
0.15,Math,1,0.08581452898215503,OtherLibSelfSci40
0.15,Myself,1,0.081330466986401,OtherLibSelfSci40
0.15,Literature,0,0.09089593999669887,OtherLibSelfSci40
0.15,Other,1,0.1347170119988732,OtherLibSelfSci40
0.15,Myself,0,0.0898360809951555,OtherLibSelfSci40
0.15,It,0,0.024986598000396043,OtherLibSelfSci40
0.15,Music,1,0.09485464400495403,OtherLibSelfSci40
0.15,Chemistry,0,0.08930374501505867,OtherLibSelfSci40
0.15,Physics,1,0.0669224489829503,OtherLibSelfSci40
0.15,I,1,0.079926817008527,OtherLibSelfSci40
0.15,Mine,1,0.07371378599782474,OtherLibSelfSci40
0.15,Myself,0,0.3377556189952884,SelfOther
0.15,Self,1,0.08958867200999521,SelfOther
0.15,Me,1,0.07652717898599803,SelfOther
0.15,Self,1,0.09584442098275758,SelfOther
0.15,Their,0,0.10716729698469862,SelfOther
0.15,You,1,0.08276900299824774,SelfOther
0.15,My,0,0.09606066599371843,SelfOther
0.15,Self,0,0.065089840994915,SelfOther
0.15,Me,0,0.10122918299748562,SelfOther
0.15,You,0,0.09346385102253407,SelfOther
0.15,Self,0,0.05168105199118145,SelfOther
0.15,Mine,1,0.07909268801449798,SelfOther
0.15,Self,1,0.06178920000093058,SelfOther
0.15,I,1,0.08706393101601861,SelfOther
0.15,My,1,0.08985948300687596,SelfOther
0.15,Self,1,0.07743987502180971,SelfOther
0.15,Mine,1,0.06484771601390094,SelfOther
0.15,Myself,1,0.0745677710219752,SelfOther
0.15,Self,1,0.06649661698611453,SelfOther
0.15,They,0,0.08918819300015457,SelfOther
0.15,It,1,0.09812485598376952,SelfOther
0.15,You,1,0.1034923940023873,SelfOther
0.15,Them,1,0.11187199500272982,SelfOther
0.15,Mine,0,0.07926673101610504,SelfOther
0.15,I,1,0.07461439500912093,SelfOther
0.15,Myself,1,0.07240866700885817,SelfOther
0.15,Other,0,0.08602225998765789,SelfOther
0.15,It,0,0.010372168995672837,SelfOther
0.15,Myself,0,0.08377693902002648,SelfOther
0.15,Mine,1,0.06497025000862777,SelfOther
0.15,Me,1,0.07811613701051101,SelfOther
